website,Belligerents,Commanders and leaders,Strength,Strength,Casualties and losses,ParsedCasu,ParsedCountry,combined.cas,kia.numbers,casulties.numbers,wound.numbers,pow.numbers,mia.numbers,website1,begin.date,end.date,new.casult
http://en.wikipedia.org/wiki/First_Battle_of_the_Marne,France United Kingdom,Joseph Joffre Michel-Joseph Maunoury Joseph Gallieni Sir John French Franchet d'EspÕŒrey Ferdinand Foch Fernand de Langle de Cary,"1,071,000
39 French divisions
6 British divisions",860000,"263,000 (81,700 killed)",0,France,"263,000 (81,700 killed)",NA,227933.3333,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_the_Marne,9/5/14,9/12/14,227933.3333
http://en.wikipedia.org/wiki/Battle_of_the_Yser,"Belgium FranceNaval support:
 United Kingdom",King Albert I Õ_mile Dossin Augustin Michel Alphonse Jacques Pierre Ronarc'h Paul Grossetti Horace Hood,"Belgium: 65,000 men(4 infantry divisions,
2 reserve divisions)France:ë_?(1 infantry division,
1 brigade of Fusiliers marins)",20000,"Belgium: 40,000
France: 15,000","France: 15,000",France,"France: 15,000",NA,15000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Yser,10/16/14,10/31/14,15000
http://en.wikipedia.org/wiki/First_Battle_of_Ypres,Franceë_Belgium United Kingdom,Joseph Joffre Ferdinand Foch Albert I of Belgium John French,"France: 3,989,103Belgium: c. 247,000United Kingdom: 163,897
Total: 4,400,000",4000000,"France: c._Ñ_85,000UK: 56,000[Notes 1]Belgium: 22,000","France: c._Ñ_85,000UK: 56,000[Notes 1]B",France,"France: c._Ñ_85,000UK: 56,000[Notes 1]B",NA,85000,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_Ypres,10/19/14,11/22/14,0
http://en.wikipedia.org/wiki/Battle_of_Li%C3%A8ge,"German Empire
ë_Prussia",Otto von Emmich Erich Ludendorff,"59,800 troops & 100 guns",59800,"5,300 (as of 8 August; total unknown)",0,Germany,"5,300 (as of 8 August; total unknown)",NA,5300,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Li%C3%A8ge,8/5/14,8/16/14,5300
http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,German Empire,Helmuth von Moltke,"1,300,000","1,300,000","206,515 (August)
99,079 (1_Ñ_10 September)",0,Germany,"206,515 (August)
99,079 (1_Ñ_10 September)",NA,305594,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Frontiers,8/7/14,9/13/14,305594
http://en.wikipedia.org/wiki/First_Battle_of_the_Marne,German Empire,Helmuth von Moltke Karl von BÕ_low Alexander von Kluck Duke of WÕ_rttemberg,"1,485,000 (on 2 August)
27 German divisions",1485000,"256,000",0,Germany,"256,000",NA,256000,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_the_Marne,9/5/14,9/12/14,256000
http://en.wikipedia.org/wiki/First_Battle_of_the_Aisne,German Empire,Alexander von Kluck Karl von BÕ_low Josias von Heeringen,First Army Second Army Seventh Army,NA,Unknown,0,Germany,Unknown,NA,NA,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_the_Aisne,9/13/14,9/28/14,0
http://en.wikipedia.org/wiki/Battle_of_the_Yser,German Empire,Albrecht of WÕ_rttemberg Hans von Beseler,120000,120000,"76,250",0,Germany,"76,250",NA,76250,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Yser,10/16/14,10/31/14,76250
http://en.wikipedia.org/wiki/First_Battle_of_Ypres,"German Empire
ë_Prussia
ë_Bavaria
ë_Saxony
ë_WÕ_rttemberg",Erich von Falkenhayn Albrecht of WÕ_rttemberg Rupprecht of Bavaria Max von Fabeck Alexander von Linsingen,"3,400,000","3,400,000","8,050 killed
29,170 wounded
10,545 missingTotal: 46,765",0,Germany,"8,050 killed
29,170 wounded
10,545 missingTotal: 46,765",8050,47765,29170,0,10545,http://en.wikipedia.org/wiki/First_Battle_of_Ypres,10/19/14,11/22/14,47765
http://en.wikipedia.org/wiki/Siege_of_Namur_(1914),German Empireë_Austria-Hungary,Karl von BÕ_low Max von Hausen,"107,000","107,000","300 killed, 600 wounded or missing",0,Germany,"300 killed, 600 wounded or missing",300,900,600,0,0,http://en.wikipedia.org/wiki/Siege_of_Namur_(1914),8/20/14,8/25/14,900
http://en.wikipedia.org/wiki/First_Battle_of_Champagne,Franceë_United Kingdom,Joseph Joffre Ferdinand Foch NÕ_el de Castelnau Douglas Haig,"French Fourth Army
~Unknown strength",NA,"93,432 3,000",0,France,"93,432 3,000",NA,93432,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_Champagne,12/20/14,3/17/15,93432
http://en.wikipedia.org/wiki/First_Battle_of_Champagne,German Empire,Helmuth von Moltke Erich von Falkenhayn Crown Prince Rupprecht,"German Third Army
~Unknown strength",NA,"46,100",0,Germany,"46,100",NA,46100,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_Champagne,12/20/14,3/17/15,46100
http://en.wikipedia.org/wiki/First_Battle_of_Champagne,Franceë_United Kingdom,Joseph Joffre Ferdinand Foch NÕ_el de Castelnau Douglas Haig,"French Fourth Army
~Unknown strength",NA,"93,432 3,000",0,England,"93,432 3,000",NA,3000,NA,0,0,http://en.wikipedia.org/wiki/First_Battle_of_Champagne,12/20/14,3/17/15,3000
http://en.wikipedia.org/wiki/Battle_of_Hartmannswillerkopf,France,Louis de Maud'huy,Seventh Army,NA,"15,000 dead or wounded",0,France,"15,000 dead or wounded",NA,15000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Hartmannswillerkopf,1/19/15,12/22/15,15000
http://en.wikipedia.org/wiki/Battle_of_Hartmannswillerkopf,German Empire,Hans Gaede,Armee-Abteilung B,NA,"15,000 dead or wounded",0,Germany,"15,000 dead or wounded",NA,15000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Hartmannswillerkopf,1/19/15,12/22/15,15000
http://en.wikipedia.org/wiki/Battle_of_Neuve_Chapelle,"British Empire
ë_India
ë_United Kingdom",Field Marshal Sir John French,4 divisions,40000,"7,000 4,200",0,England,"7,000 4,200",NA,11200,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Neuve_Chapelle,3/10/15,3/13/15,11200
http://en.wikipedia.org/wiki/Battle_of_Neuve_Chapelle,German Empire,Crown Prince Rupprecht,2 divisions,20000,"9_Ñ_20 March: c._Ñ_10,000",0,Germany,"9_Ñ_20 March: c._Ñ_10,000",NA,10000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Neuve_Chapelle,3/10/15,3/13/15,10000
http://en.wikipedia.org/wiki/Second_Battle_of_Ypres,,,7 Divisions,,,,Germany,,,35000,,,,,4/21/15,5/25/15,
http://en.wikipedia.org/wiki/Second_Battle_of_Ypres,,,6 Divisions,,,,England,,,52500,,,,,4/21/15,5/25/15,
http://en.wikipedia.org/wiki/Second_Battle_of_Ypres,,,2 Divisions,,,,France,,,17500,,,,,4/21/15,5/25/15,
http://en.wikipedia.org/wiki/Second_Battle_of_Artois,"Franceë_British Empire
ë_Canada
ë_India
ë_United Kingdom",Joseph Joffre Victor d'Urbal Douglas Haig,"9 French and British divisions (initial)
20 divisions (final)",NA,"102,500 27,809 (Aubers Ridge: 11,161, Festubert: 16,648)",0,France,"102,500 27,809 (Aubers Ridge: 11,161, Festubert: 16,648)",NA,102500,NA,0,0,http://en.wikipedia.org/wiki/Second_Battle_of_Artois,5/9/15,6/18/15,102500
http://en.wikipedia.org/wiki/Second_Battle_of_Artois,"Franceë_British Empire
ë_Canada
ë_India
ë_United Kingdom",Joseph Joffre Victor d'Urbal Douglas Haig,"9 French and British divisions (initial)
20 divisions (final)",NA,"102,500 27,809 (Aubers Ridge: 11,161, Festubert: 16,648)",0,England,"102,500 27,809 (Aubers Ridge: 11,161, Festubert: 16,648)",NA,27809,NA,0,0,http://en.wikipedia.org/wiki/Second_Battle_of_Artois,5/9/15,6/18/15,102500
http://en.wikipedia.org/wiki/Second_Battle_of_Artois,"German Empire
ë_Bavaria
ë_Prussia",Crown Prince Rupprecht of Bavaria,18 divisions (final),180000,"73,072",0,Germany,"73,072",NA,73072,NA,0,0,http://en.wikipedia.org/wiki/Second_Battle_of_Artois,5/9/15,6/18/15,73072
http://en.wikipedia.org/wiki/Battle_of_Loos,"British Empire
ë_India
ë_United Kingdom",John French Douglas Haig,6 divisions,60000,"59,247",0,England,"59,247",NA,59247,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Loos,9/25/15,10/14/15,59247
http://en.wikipedia.org/wiki/Battle_of_Loos,German Empire,"Rupprecht, Crown Prince of Bavaria Friedrich Bertram Sixt von Armin",3 divisions,30000,"c._Ñ_26,000",0,Germany,"c._Ñ_26,000",NA,26000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Loos,9/25/15,10/14/15,26000
http://en.wikipedia.org/wiki/Second_Battle_of_Champagne,France,Philippe PÕ©tain Joseph Joffre,"Fourth ArmySecond Army
450,000 men in 27 divisions",450000,"145,000",0,France,"145,000",NA,145000,NA,0,0,http://en.wikipedia.org/wiki/Second_Battle_of_Champagne,9/25/15,11/6/15,145000
http://en.wikipedia.org/wiki/Second_Battle_of_Champagne,German Empire,Erich von Falkenhayn Karl von Einem,"3rd Army
220,000 men in 19 divisions",220000,"72,500
(25,000 taken prisoner)",0,Germany,"72,500
(25,000 taken prisoner)",NA,97500,NA,25000,0,http://en.wikipedia.org/wiki/Second_Battle_of_Champagne,9/25/15,11/6/15,25000
http://en.wikipedia.org/wiki/Third_Battle_of_Artois,France United Kingdom,Victor d'Urbal John French,"French Tenth Army
10 DivisionsBritish First Army
8 Divisions",80000,"48,230 61,713",0,England,"48,230 61,713",NA,61713,NA,0,0,http://en.wikipedia.org/wiki/Third_Battle_of_Artois,9/25/15,11/4/15,61713
http://en.wikipedia.org/wiki/Third_Battle_of_Artois,German Empire,Crown Prince Rupprecht,"6th Army
9 Divisions",900000,"c._Ñ_51,100",0,Germany,"c._Ñ_51,100",NA,51100,NA,0,0,http://en.wikipedia.org/wiki/Third_Battle_of_Artois,9/25/15,11/4/15,51100
http://en.wikipedia.org/wiki/Third_Battle_of_Artois,France United Kingdom,Victor d'Urbal John French,"French Tenth Army
10 DivisionsBritish First Army
8 Divisions",100000,"48,230 61,713",0,France,"48,230 61,713",NA,48230,NA,0,0,http://en.wikipedia.org/wiki/Third_Battle_of_Artois,9/25/15,11/4/15,48230
http://en.wikipedia.org/wiki/Battle_of_Verdun,German Empire,Erich von Falkenhayn Crown Prince Wilhelm Schmidt von Knobelsdorf Ewald von Lochow Max von Gallwitz Georg von der Marwitz,"1,250,000 soldiers in c._Ñ_50 divisions",1250000,"281,000_Ñ_434,000; c._Ñ_143,000 killed February_Ñ_December 1916",0,Germany,"281,000_Ñ_434,000; c._Ñ_143,000 killed February_Ñ_December 1916",NA,357500,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Verdun,2/21/16,12/20/16,357500
http://en.wikipedia.org/wiki/Battle_of_Verdun,France,Joseph Joffre NoÕ‰l de Castelnau Fernand de Langle de Cary FrÕ©dÕ©ric-Georges Herr Philippe PÕ©tain Robert Nivelle Adolphe Guillaumat Auguste Hirschauer Charles Mangin,"1,140,000 soldiers in c._Ñ_75_Ñ_85 divisions",1140000,"315,000_Ñ_542,000; c._Ñ_156,000 killed February_Ñ_December 1916",0,France,"315,000_Ñ_542,000; c._Ñ_156,000 killed February_Ñ_December 1916",NA,428500,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Verdun,2/21/16,12/20/16,156000
http://en.wikipedia.org/wiki/Battle_of_the_Somme,"German Empire
ë_Baden
ë_Bavaria
ë_Prussia
ë_Saxony
ë_WÕ_rttemberg",Crown Prince Rupprecht of Bavaria Max von Gallwitz Fritz von Below,"10ë_1_Å†2 divisions 1 July
50 divisions July_Ñ_November",500000,"c._Ñ_237,000_Ñ_500,000",0,Germany,"c._Ñ_237,000_Ñ_500,000",NA,465000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Somme,7/1/16,11/18/16,368500
http://en.wikipedia.org/wiki/Battle_of_the_Somme,"British Empire
ë_Australia
ë_Bermuda
ë_Canada
ë_India
ë_Newfoundland
ë_New Zealand
ë_South Africa
ë_Southern Rhodesia
ë_United Kingdom
 France",Douglas Haig Ferdinand Foch Henry Rawlinson Õ_mile Fayolle Hubert Gough Joseph Alfred Micheler,"13 British, 11 French divisions 1 July
51 British, 48 French divisions July_Ñ_November",510000,"623,907",0,England,NA,NA,419654,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Somme,7/1/16,11/18/16,337949.625
http://en.wikipedia.org/wiki/Battle_of_the_Somme,"British Empire
ë_Australia
ë_Bermuda
ë_Canada
ë_India
ë_Newfoundland
ë_New Zealand
ë_South Africa
ë_Southern Rhodesia
ë_United Kingdom
 France",Douglas Haig Ferdinand Foch Henry Rawlinson Õ_mile Fayolle Hubert Gough Joseph Alfred Micheler,"13 British, 11 French divisions 1 July
51 British, 48 French divisions July_Ñ_November",480000,"623,907",0,France,NA,NA,204253,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Somme,7/1/16,11/18/16,285957.375
http://en.wikipedia.org/wiki/Battle_of_Arras_(1917),"British Empire
 United Kingdom
ë_Canada
ë_Australia
ë_Newfoundland
ë_New Zealand",Douglas Haig Edmund Allenby Arthur Currie Hubert Gough Henry Horne,"on first day:
14 divisions in the assault,
9 divisions in reserve",230000,"158,000",0,England,"158,000",NA,158000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Arras_(1917),4/9/17,5/16/17,158000
http://en.wikipedia.org/wiki/Battle_of_Arras_(1917),"German Empire
 Prussia
 Bavaria
 Saxony
 WÕ_rttemberg
 Grand Duchy of Baden",Ludwig von Falkenhausen Erich Ludendorff Georg von der Marwitz,"on first day:
12 divisions in the line,
5 divisions in reserve",170000,"120,000_Ñ_130,000",0,Germany,"120,000_Ñ_130,000",NA,125000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Arras_(1917),4/9/17,5/16/17,125000
http://en.wikipedia.org/wiki/Second_Battle_of_the_Aisne,"France,ë_Russian Empire",Robert Nivelle Franchet d'EspÕŒrey Alfred Micheler Philippe PÕ©tain Charles Mangin FranÕ_ois Anthoine Olivier Mazel Denis DuchÕ_ne Georges Humbert,53 divisions,53000,"c._Ñ_187,000",0,France,"c._Ñ_187,000",NA,187000,NA,0,0,http://en.wikipedia.org/wiki/Second_Battle_of_the_Aisne,4/16/17,5/9/17,187000
http://en.wikipedia.org/wiki/Second_Battle_of_the_Aisne,German Empire,Erich Ludendorff Crown Prince Wilhelm Max von Boehn Fritz von Below Karl von Einem,38 divisions,38000,"c._Ñ_163,000",0,Germany,"c._Ñ_163,000",NA,163000,NA,0,0,http://en.wikipedia.org/wiki/Second_Battle_of_the_Aisne,4/16/17,5/9/17,163000
http://en.wikipedia.org/wiki/Battle_of_the_Hills,France,Robert Nivelle Philippe PÕ©tain FranÕ_ois Anthoine,13 divisions,130000,"21,697",0,France,"21,697",NA,21697,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_the_Hills,4/17/17,4/20/17,21697
http://en.wikipedia.org/wiki/Battle_of_the_Hills,German Empire,Erich Ludendorff Crown Prince Wilhelm Karl von Einem,17 divisions,170000,"unknown, including 6,120 prisoners",0,Germany,"unknown, including 6,120 prisoners",NA,NA,NA,6120,0,http://en.wikipedia.org/wiki/Battle_of_the_Hills,4/17/17,4/20/17,6120
http://en.wikipedia.org/wiki/Battle_of_Messines_(1917),"German Empire
ë_Bavaria
ë_Prussia
ë_Saxony",Crown Prince Rupprecht Sixt von Armin,"5 divisions: 126,000 men",126000,"25,000: 21 May _Ñ_ 10 June
10,000 missing
7,200 taken prisoner",0,Germany,"25,000: 21 May _Ñ_ 10 June
10,000 missing
7,200 taken prisoner",NA,25000,NA,7200,10000,http://en.wikipedia.org/wiki/Battle_of_Messines_(1917),6/7/17,6/14/17,25000
http://en.wikipedia.org/wiki/Battle_of_Messines_(1917),"British Empire
ë_Australia
ë_Canada
ë_New Zealand
ë_United Kingdom",Sir Douglas Haig Sir Herbert Plumer,"9 divisions and 3 in reserve: 216,000 men",216000,"24,562: 1_Ñ_12 June",0,England,"24,562: 1_Ñ_12 June",NA,24562,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Messines_(1917),6/7/17,6/14/17,24562
http://en.wikipedia.org/wiki/Battle_of_Passchendaele,"British Empire
ë_Australia
ë_Canada
ë_India
ë_Newfoundland
ë_New Zealand
ë_South Africa
ë_United Kingdom
 France Belgium",Douglas Haig Hubert Gough Herbert Plumer FranÕ_ois Anthoine Louis Ruquoy,"50 British, 6 French divisions engaged for periods between 31 July and 10 November 1917",560000,"Disputed
200,000_Ñ_448,614",0,England,"Disputed
200,000_Ñ_448,614",NA,324000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Passchendaele,7/31/17,11/10/17,324000
http://en.wikipedia.org/wiki/Battle_of_Passchendaele,German Empire,Erich Ludendorff Crown Prince Rupprecht of Bavaria Friedrich Sixt von Armin,77_Ñ_83 German divisions engaged for periods between 31 July and 10 November 1917,800000,"Disputed
217,000_Ñ_410,000 including 24,065 prisoners.",0,Germany,"Disputed
217,000_Ñ_410,000 including 24,065 prisoners.",NA,313500,NA,24065,0,http://en.wikipedia.org/wiki/Battle_of_Passchendaele,7/31/17,11/10/17,313500
http://en.wikipedia.org/wiki/Battle_of_La_Malmaison,Germany,Max von Boehn,7th Army,100000,"18,000",0,Germany,"18,000",NA,18000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_La_Malmaison,10/23/17,10/27/17,18000
http://en.wikipedia.org/wiki/Battle_of_La_Malmaison,France,Paul Maistre,Sixth Army,100000,"c._Ñ_12,000",0,France,"c._Ñ_12,000",NA,12000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_La_Malmaison,10/23/17,10/27/17,12000
http://en.wikipedia.org/wiki/Battle_of_Cambrai_(1917),"German Empire
ë_Baden
ë_Bavaria
ë_Prussia
ë_Saxony
ë_WÕ_rttemberg",Georg von der Marwitz,1 Corps,30000,"c._Ñ_45,000",0,Germany,"c._Ñ_45,000",NA,45000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Cambrai_(1917),11/20/17,12/7/17,45000
http://en.wikipedia.org/wiki/Battle_of_Cambrai_(1917),"British Empire
ë_Newfoundland
ë_United Kingdom
ë_United States (30 November only)",Sir Julian Byng,"2 Corps
476 tanks (378 combat tanks)",60000,"c._Ñ_44,000
179 tanks",0,England,"c._Ñ_44,000
179 tanks",NA,44000,NA,0,0,http://en.wikipedia.org/wiki/Battle_of_Cambrai_(1917),11/20/17,12/7/17,44000
http://en.wikipedia.org/wiki/Spring_Offensive,,,,,,,Germany,,,688341,,,,,3/21/18,7/18/18,
http://en.wikipedia.org/wiki/Spring_Offensive,,,,,,,England,,,418374,,,,,3/21/18,7/18/18,
http://en.wikipedia.org/wiki/Spring_Offensive,,,,,,,France,,,433000,,,,,3/21/18,7/18/18,
http://en.wikipedia.org/wiki/Spring_Offensive,,,,,,,Italy,,,5000,,,,,3/21/18,7/18/18,
http://en.wikipedia.org/wiki/Spring_Offensive,,,,,,,Portugal,,,7000,,,,,3/21/18,7/18/18,
http://en.wikipedia.org/wiki/Hundred_Days_Offensive,,,,,,,France,,,531000,,,,,8/8/18,11/11/18,
http://en.wikipedia.org/wiki/Hundred_Days_Offensive,,,,,,,England,,,411636,,,,,8/8/18,11/11/18,
http://en.wikipedia.org/wiki/Hundred_Days_Offensive,,,,,,,American,,,127000,,,,,8/8/18,11/11/18,
http://en.wikipedia.org/wiki/Hundred_Days_Offensive,,,,,,,Germany,,,1172075,,386342,,,8/8/18,11/11/18,
